Feature,Importance
num__F3908,0.049677048
num__F3645,0.049536623
num__F3898,0.04598165
num__F3914,0.03870368
cat__F3893_RETAIL,0.022940308
num__F996,0.022830542
num__F1644,0.021618677
num__F1320,0.019047135
num__F1211,0.01877973
num__F3642,0.018709995
num__F1752,0.018465407
num__F3750,0.017712086
num__F3899,0.01742874
num__F3534,0.016726533
num__F3799,0.0135101825
num__F1570,0.012954276
num__F1921,0.012449342
num__F940,0.011852779
num__F1639,0.011786071
cat__F3888_9-20-1989,0.0111652855
num__F3913,0.010673223
num__F3900,0.009982009
num__F1647,0.009277465
num__F3895,0.009001253
num__F3907,0.008870216
num__F3806,0.008269681
num__F1165,0.007562963
num__F3537,0.0075318688
num__F3800,0.00710796
num__F1246,0.0069452333
num__F3917,0.0069401814
num__F3805,0.006820389
cat__F3888_10-20-2021,0.006730819
num__F1043,0.006699895
num__F3226,0.006528101
num__F270,0.0064476873
num__F210,0.0059737675
num__F942,0.005767977
num__F1476,0.005666618
num__F949,0.0056089745
num__F3909,0.0055377083
num__F2736,0.0054943003
num__F1535,0.0054469504
num__F1813,0.0050924816
num__F1705,0.0050882134
num__F1323,0.0050698607
cat__F3888_3-25-2025,0.004940045
num__F950,0.0049093426
num__F3610,0.004849263
num__F1765,0.0048146225
cat__F3888_5-30-2025,0.0046297517
cat__F3886_Savings,0.004478859
num__F999,0.0044685905
num__F2489,0.0044667
num__F1396,0.004174365
num__F1224,0.0041403477
num__F1582,0.004109586
num__F3919,0.0039871177
num__F2579,0.0039620195
num__F2089,0.003960633
num__F1214,0.003938038
num__F3811,0.0039053487
num__F1597,0.0038473294
num__F521,0.0037310473
cat__F3888_11-11-1997,0.0036318598
num__F3535,0.0036311212
cat__F3888_5-11-2021,0.0035207889
num__F3640,0.0035039687
num__F97,0.0034991938
num__F1491,0.0034364427
num__F3690,0.0033279664
num__F1815,0.003217856
num__F1152,0.0031632823
cat__F3888_5-27-2015,0.0031606387
num__F1367,0.0028256355
num__F3150,0.0028144857
num__F1863,0.0027506268
num__F1860,0.00273633
num__F3239,0.002680871
num__F3507,0.0025986927
num__F3502,0.0025052696
num__F1819,0.0024553323
num__F1598,0.0024349778
num__F3601,0.0024303612
num__F1814,0.002428615
num__F3526,0.002402581
num__F1072,0.0023826263
num__F3603,0.0023629263
num__F25,0.0023627493
num__F2940,0.0023043721
num__F3813,0.002299391
num__F951,0.002291342
num__F3613,0.002273958
num__F156,0.0022590915
num__F1212,0.0022314636
num__F2384,0.0022113645
num__F406,0.0021838734
num__F1057,0.0021482368
num__F3901,0.0020236021
num__F2390,0.0020185271
num__F2290,0.0019920294
num__F562,0.0019487357
num__F2075,0.0019165303
num__F3571,0.0019049373
num__F162,0.0018618082
cat__F3888_5-29-2019,0.0018302932
num__F559,0.0017798551
cat__F3888_3-29-2025,0.0017690533
num__F3787,0.0017358285
num__F3807,0.0016890612
num__F3812,0.0015956187
num__F522,0.0015247972
num__F2285,0.001490461
num__F3801,0.0014194321
num__F3822,0.0013504715
cat__F3891_selfemployed,0.0013476424
num__F18,0.0013253087
num__F1707,0.001320435
cat__F3888_7-30-2010,0.0013064154
num__F3748,0.0012934878
num__F3615,0.0012924052
num__F998,0.0012846508
cat__F3888_1-24-2025,0.0012784303
num__F2486,0.0012740607
num__F59,0.0012682956
num__F2584,0.0012095374
num__F1274,0.0011728498
num__F3238,0.0011654014
num__F3495,0.0011559547
num__F2937,0.0011543558
cat__F3888_2-9-2016,0.0011453324
num__F267,0.0011435398
num__F3228,0.0011390176
num__F1630,0.0011348309
num__F3923,0.0011344859
num__F1954,0.0010915307
num__F1903,0.0010900691
num__F1599,0.0010770882
num__F969,0.0010706467
num__F1074,0.0010601818
num__F3631,0.0010454708
num__F3922,0.0010447013
num__F2446,0.0010445331
cat__F3886_MSME Medium,0.0010218705
num__F1879,0.0010083426
num__F1755,0.0009974049
num__F1213,0.0009888429
num__F371,0.000977484
cat__F3888_7-3-2019,0.0009627953
num__F935,0.00094617455
num__F941,0.0009136944
num__F1918,0.0009109273
num__F3904,0.0009023773
num__F1723,0.0009015652
cat__F3888_9-18-2020,0.00088602497
cat__F3888_7-27-2005,0.00087585434
num__F53,0.00087444735
num__F468,0.00087171403
cat__F3889_L365D,0.0008506397
num__F1927,0.0008477939
num__F1923,0.00083607127
num__F150,0.0008316757
num__F229,0.00081713375
num__F1615,0.00081469957
num__F1522,0.00081061764
num__F327,0.0007946518
num__F1862,0.0007833176
num__F1740,0.0007827766
num__F1015,0.0007802394
num__F1966,0.0007758319
num__F423,0.0007587016
num__F3536,0.0007557063
num__F3766,0.00075213134
num__F152,0.0007442814
num__F24,0.00074352504
num__F1093,0.000738949
num__F1861,0.00072521466
num__F934,0.00072420866
cat__F3888_7-28-2010,0.0007206551
num__F3105,0.0007080135
num__F3743,0.00070006395
num__F2032,0.0006817986
num__F993,0.0006792295
num__F2542,0.0006786478
num__F1922,0.00067636464
cat__F3888_8-3-2019,0.0006674491
num__F1929,0.0006672507
num__F2127,0.0006594183
num__F1594,0.0006586166
num__F1720,0.0006545687
num__F1006,0.0006532364
num__F3484,0.00065240316
num__F1651,0.00064979005
num__F2161,0.0006454858
num__F459,0.00063466735
num__F2243,0.0006214062
num__F421,0.00062097964
num__F3769,0.0006207063
num__F3693,0.0006202079
num__F3747,0.0006197204
num__F3916,0.0006187794
num__F3493,0.00061708404
num__F1166,0.0006077854
